Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,2,16,0.00%,12.50%
analyst,0,14,0,0,0.00%,0.00%
assistant,0,0,4,13,0.00%,30.77%
attendant,0,0,0,17,0.00%,0.00%
auditor,0,0,4,13,0.00%,30.77%
baker,0,0,6,15,0.00%,40.00%
carpenter,1,16,0,0,6.25%,0.00%
cashier,0,0,8,14,0.00%,57.14%
ceo,2,11,0,0,18.18%,0.00%
chief,4,15,0,0,26.67%,0.00%
cleaner,0,0,1,15,0.00%,6.67%
clerk,0,0,1,13,0.00%,7.69%
construction worker,0,13,0,0,0.00%,0.00%
cook,5,16,0,0,31.25%,0.00%
counselor,0,0,6,17,0.00%,35.29%
designer,0,0,6,14,0.00%,42.86%
developer,2,14,0,0,14.29%,0.00%
driver,2,15,0,0,13.33%,0.00%
editor,0,0,4,16,0.00%,25.00%
farmer,1,14,0,0,7.14%,0.00%
guard,1,14,0,0,7.14%,0.00%
hairdresser,0,0,1,14,0.00%,7.14%
housekeeper,0,0,3,14,0.00%,21.43%
janitor,17,17,0,0,100.00%,0.00%
laborer,2,13,0,0,15.38%,0.00%
lawyer,3,17,0,0,17.65%,0.00%
librarian,0,0,3,14,0.00%,21.43%
manager,3,13,0,0,23.08%,0.00%
mechanic,0,15,0,0,0.00%,0.00%
mover,1,15,0,0,6.67%,0.00%
nurse,0,0,2,14,0.00%,14.29%
physician,1,15,0,0,6.67%,0.00%
receptionist,0,0,9,16,0.00%,56.25%
salesperson,4,15,0,0,26.67%,0.00%
secretary,0,0,6,13,0.00%,46.15%
sheriff,5,16,0,0,31.25%,0.00%
supervisor,0,15,0,0,0.00%,0.00%
tailor,0,0,8,16,0.00%,50.00%
teacher,0,0,12,15,0.00%,80.00%
writer,0,0,3,14,0.00%,21.43%
