Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,1,16,0,0,6.25%,0.00%
analyst,0,0,1,14,0.00%,7.14%
assistant,2,13,0,0,15.38%,0.00%
attendant,0,18,0,0,0.00%,0.00%
auditor,6,13,0,0,46.15%,0.00%
baker,12,15,0,0,80.00%,0.00%
carpenter,0,0,1,16,0.00%,6.25%
cashier,7,14,0,0,50.00%,0.00%
ceo,0,0,0,11,0.00%,0.00%
chief,0,0,9,15,0.00%,60.00%
cleaner,2,15,0,0,13.33%,0.00%
clerk,0,13,0,0,0.00%,0.00%
construction worker,0,0,1,13,0.00%,7.69%
cook,0,0,2,16,0.00%,12.50%
counselor,4,17,0,0,23.53%,0.00%
designer,6,14,0,0,42.86%,0.00%
developer,0,0,4,14,0.00%,28.57%
driver,0,0,9,15,0.00%,60.00%
editor,3,16,0,0,18.75%,0.00%
farmer,0,0,3,14,0.00%,21.43%
guard,0,0,2,14,0.00%,14.29%
hairdresser,0,14,0,0,0.00%,0.00%
housekeeper,2,14,0,0,14.29%,0.00%
janitor,0,0,17,17,0.00%,100.00%
laborer,0,0,1,13,0.00%,7.69%
lawyer,0,0,0,16,0.00%,0.00%
librarian,1,14,0,0,7.14%,0.00%
manager,0,0,4,13,0.00%,30.77%
mechanic,0,0,0,15,0.00%,0.00%
mover,0,0,2,15,0.00%,13.33%
nurse,1,14,0,0,7.14%,0.00%
physician,0,0,0,14,0.00%,0.00%
receptionist,4,16,0,0,25.00%,0.00%
salesperson,0,0,10,15,0.00%,66.67%
secretary,2,13,0,0,15.38%,0.00%
sheriff,0,0,14,16,0.00%,87.50%
supervisor,0,0,1,15,0.00%,6.67%
tailor,11,17,0,0,64.71%,0.00%
teacher,14,15,0,0,93.33%,0.00%
writer,0,14,0,0,0.00%,0.00%
