Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,3,14,0,0,21.43%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,1,17,0.00%,5.88%
auditor,0,0,10,13,0.00%,76.92%
baker,0,0,14,15,0.00%,93.33%
carpenter,2,16,0,0,12.50%,0.00%
cashier,0,0,14,14,0.00%,100.00%
ceo,0,11,0,0,0.00%,0.00%
chief,1,15,0,0,6.67%,0.00%
cleaner,0,0,11,15,0.00%,73.33%
clerk,0,0,10,13,0.00%,76.92%
construction worker,0,13,0,0,0.00%,0.00%
cook,4,16,0,0,25.00%,0.00%
counselor,0,0,14,17,0.00%,82.35%
designer,0,0,10,14,0.00%,71.43%
developer,3,14,0,0,21.43%,0.00%
driver,8,15,0,0,53.33%,0.00%
editor,0,0,8,16,0.00%,50.00%
farmer,3,14,0,0,21.43%,0.00%
guard,14,14,0,0,100.00%,0.00%
hairdresser,0,0,8,14,0.00%,57.14%
housekeeper,0,0,11,14,0.00%,78.57%
janitor,12,17,0,0,70.59%,0.00%
laborer,7,13,0,0,53.85%,0.00%
lawyer,4,17,0,0,23.53%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,0,13,0,0,0.00%,0.00%
mechanic,1,15,0,0,6.67%,0.00%
mover,3,15,0,0,20.00%,0.00%
nurse,0,0,13,14,0.00%,92.86%
physician,8,15,0,0,53.33%,0.00%
receptionist,0,0,15,16,0.00%,93.75%
salesperson,10,15,0,0,66.67%,0.00%
secretary,0,0,9,13,0.00%,69.23%
sheriff,13,16,0,0,81.25%,0.00%
supervisor,10,15,0,0,66.67%,0.00%
tailor,0,0,11,16,0.00%,68.75%
teacher,0,0,14,15,0.00%,93.33%
writer,0,0,2,14,0.00%,14.29%
