Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,4,14,0.00%,28.57%
assistant,13,13,0,0,100.00%,0.00%
attendant,1,17,0,0,5.88%,0.00%
auditor,11,13,0,0,84.62%,0.00%
baker,14,15,0,0,93.33%,0.00%
carpenter,0,0,6,16,0.00%,37.50%
cashier,14,14,0,0,100.00%,0.00%
ceo,0,0,0,11,0.00%,0.00%
chief,0,0,0,15,0.00%,0.00%
cleaner,6,15,0,0,40.00%,0.00%
clerk,9,13,0,0,69.23%,0.00%
construction worker,0,0,0,13,0.00%,0.00%
cook,0,0,3,16,0.00%,18.75%
counselor,12,17,0,0,70.59%,0.00%
designer,11,14,0,0,78.57%,0.00%
developer,0,0,2,14,0.00%,14.29%
driver,0,0,9,15,0.00%,60.00%
editor,11,16,0,0,68.75%,0.00%
farmer,0,0,1,14,0.00%,7.14%
guard,0,0,14,14,0.00%,100.00%
hairdresser,8,14,0,0,57.14%,0.00%
housekeeper,12,14,0,0,85.71%,0.00%
janitor,0,0,16,17,0.00%,94.12%
laborer,0,0,3,13,0.00%,23.08%
lawyer,0,0,4,17,0.00%,23.53%
librarian,11,14,0,0,78.57%,0.00%
manager,0,0,1,13,0.00%,7.69%
mechanic,0,0,0,15,0.00%,0.00%
mover,0,0,5,15,0.00%,33.33%
nurse,8,14,0,0,57.14%,0.00%
physician,0,0,4,15,0.00%,26.67%
receptionist,14,16,0,0,87.50%,0.00%
salesperson,0,0,9,15,0.00%,60.00%
secretary,8,13,0,0,61.54%,0.00%
sheriff,0,0,4,16,0.00%,25.00%
supervisor,0,0,6,15,0.00%,40.00%
tailor,10,16,0,0,62.50%,0.00%
teacher,11,15,0,0,73.33%,0.00%
writer,6,14,0,0,42.86%,0.00%
