Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,3,14,0,0,21.43%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,1,17,0.00%,5.88%
auditor,0,0,10,13,0.00%,76.92%
baker,0,0,14,15,0.00%,93.33%
carpenter,8,16,0,0,50.00%,0.00%
cashier,0,0,14,14,0.00%,100.00%
ceo,1,11,0,0,9.09%,0.00%
chief,2,15,0,0,13.33%,0.00%
cleaner,0,0,8,15,0.00%,53.33%
clerk,0,0,10,13,0.00%,76.92%
construction worker,0,13,0,0,0.00%,0.00%
cook,3,16,0,0,18.75%,0.00%
counselor,0,0,14,17,0.00%,82.35%
designer,0,0,11,14,0.00%,78.57%
developer,3,14,0,0,21.43%,0.00%
driver,10,15,0,0,66.67%,0.00%
editor,0,0,11,16,0.00%,68.75%
farmer,3,14,0,0,21.43%,0.00%
guard,14,14,0,0,100.00%,0.00%
hairdresser,0,0,9,14,0.00%,64.29%
housekeeper,0,0,10,14,0.00%,71.43%
janitor,17,17,0,0,100.00%,0.00%
laborer,6,13,0,0,46.15%,0.00%
lawyer,5,17,0,0,29.41%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,2,13,0,0,15.38%,0.00%
mechanic,1,15,0,0,6.67%,0.00%
mover,4,15,0,0,26.67%,0.00%
nurse,0,0,13,14,0.00%,92.86%
physician,8,15,0,0,53.33%,0.00%
receptionist,0,0,14,16,0.00%,87.50%
salesperson,12,15,0,0,80.00%,0.00%
secretary,0,0,8,13,0.00%,61.54%
sheriff,15,16,0,0,93.75%,0.00%
supervisor,6,15,0,0,40.00%,0.00%
tailor,0,0,7,16,0.00%,43.75%
teacher,0,0,12,15,0.00%,80.00%
writer,0,0,5,14,0.00%,35.71%
