Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,9,14,0.00%,64.29%
assistant,13,13,0,0,100.00%,0.00%
attendant,12,17,0,0,70.59%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,15,15,0,0,100.00%,0.00%
carpenter,0,0,3,16,0.00%,18.75%
cashier,12,14,0,0,85.71%,0.00%
ceo,0,0,2,11,0.00%,18.18%
chief,0,0,2,15,0.00%,13.33%
cleaner,13,15,0,0,86.67%,0.00%
clerk,10,13,0,0,76.92%,0.00%
construction worker,0,0,3,13,0.00%,23.08%
cook,0,0,5,16,0.00%,31.25%
counselor,17,17,0,0,100.00%,0.00%
designer,13,14,0,0,92.86%,0.00%
developer,0,0,5,14,0.00%,35.71%
driver,0,0,5,15,0.00%,33.33%
editor,12,16,0,0,75.00%,0.00%
farmer,0,0,4,14,0.00%,28.57%
guard,0,0,6,14,0.00%,42.86%
hairdresser,11,14,0,0,78.57%,0.00%
housekeeper,9,14,0,0,64.29%,0.00%
janitor,0,0,2,17,0.00%,11.76%
laborer,0,0,3,13,0.00%,23.08%
lawyer,0,0,2,17,0.00%,11.76%
librarian,14,14,0,0,100.00%,0.00%
manager,0,0,1,13,0.00%,7.69%
mechanic,0,0,1,15,0.00%,6.67%
mover,0,0,1,15,0.00%,6.67%
nurse,10,14,0,0,71.43%,0.00%
physician,0,0,6,15,0.00%,40.00%
receptionist,13,16,0,0,81.25%,0.00%
salesperson,0,0,12,15,0.00%,80.00%
secretary,11,13,0,0,84.62%,0.00%
sheriff,0,0,6,16,0.00%,37.50%
supervisor,0,0,10,15,0.00%,66.67%
tailor,16,16,0,0,100.00%,0.00%
teacher,13,15,0,0,86.67%,0.00%
writer,7,14,0,0,50.00%,0.00%
