subject,relation,object
Peter Wyman,has gender,male
Peter Wyman,has occupation,accountant
Q136309071,has gender,male
Q136309071,has occupation,accountant
I Kisun,has gender,male
I Kisun,has occupation,accountant
Neil Angus,has gender,male
Neil Angus,has occupation,accountant
Masahiko Ikaga,has gender,male
Masahiko Ikaga,has occupation,accountant
Rintarō Aoki,has gender,male
Rintarō Aoki,has occupation,accountant
Marc Harris,has gender,male
Marc Harris,has occupation,accountant
Robert Elstone,has gender,male
Robert Elstone,has occupation,accountant
John B. T. Campbell III,has gender,male
John B. T. Campbell III,has occupation,accountant
Richard Baum,has gender,male
Richard Baum,has occupation,accountant
Q18542647,has gender,male
Q18542647,has occupation,accountant
Salomon de Monchy,has gender,male
Salomon de Monchy,has occupation,accountant
Oleg Vladimirovich Korobchenko,has gender,male
Oleg Vladimirovich Korobchenko,has occupation,accountant
Auguste Maltais,has gender,male
Auguste Maltais,has occupation,accountant
Q136383833,has gender,male
Q136383833,has occupation,accountant
Thomas E. Martin,has gender,male
Thomas E. Martin,has occupation,accountant
Q130521930,has gender,male
Q130521930,has occupation,accountant
Leo van Gasselt,has gender,male
Leo van Gasselt,has occupation,accountant
Giovanni Cocca,has gender,male
Giovanni Cocca,has occupation,accountant
Arthur Bach,has gender,male
Arthur Bach,has occupation,accountant
Siegfried Moses,has gender,male
Siegfried Moses,has occupation,accountant
Rihard Svetoslav Premrou,has gender,male
Rihard Svetoslav Premrou,has occupation,accountant
Q4314322,has gender,male
Q4314322,has occupation,accountant
Augusto Andino Alcayaga Aldunate,has gender,male
Augusto Andino Alcayaga Aldunate,has occupation,accountant
Jacob Oem van Wijngaerden,has gender,male
Jacob Oem van Wijngaerden,has occupation,accountant
Miguel de Cervantes,has gender,male
Miguel de Cervantes,has occupation,accountant
Percy Ludgate,has gender,male
Percy Ludgate,has occupation,accountant
Manuel Andres Contreras Menares,has gender,male
Manuel Andres Contreras Menares,has occupation,accountant
Sir Roderick Consett Proctor,has gender,male
Sir Roderick Consett Proctor,has occupation,accountant
Philip M. Colquhoun,has gender,male
Philip M. Colquhoun,has occupation,accountant
Walter Bridgland,has gender,male
Walter Bridgland,has occupation,accountant
Gholam hossein Davani,has gender,male
Gholam hossein Davani,has occupation,accountant
Uzi Izvitsḳi,has gender,male
Uzi Izvitsḳi,has occupation,accountant
John Chidsey,has gender,male
John Chidsey,has occupation,accountant
Kimitaka Mori,has gender,male
Kimitaka Mori,has occupation,accountant
León Morelli,has gender,male
León Morelli,has occupation,accountant
Georges Priem,has gender,male
Georges Priem,has occupation,accountant
Jose Braz Gonçalves de Carvalho,has gender,male
Jose Braz Gonçalves de Carvalho,has occupation,accountant
Cirineu Guimarães de Oliveira,has gender,male
Cirineu Guimarães de Oliveira,has occupation,accountant
João Carlos de Oliveira,has gender,male
João Carlos de Oliveira,has occupation,accountant
William Mitchell Lybrand,has gender,male
William Mitchell Lybrand,has occupation,accountant
Vic Garland,has gender,male
Vic Garland,has occupation,accountant
Andrés De Leo,has gender,male
Andrés De Leo,has occupation,accountant
Shiwen Qiu,has gender,male
Shiwen Qiu,has occupation,accountant
Horace Harper,has gender,male
Horace Harper,has occupation,accountant
Q131749478,has gender,male
Q131749478,has occupation,accountant
Pier-Luc Nappert,has gender,male
Pier-Luc Nappert,has occupation,accountant
Sérgio Alves Rocha,has gender,male
Sérgio Alves Rocha,has occupation,accountant
Martim Vicente,has gender,male
Martim Vicente,has occupation,accountant
John Mason,has gender,male
John Mason,has occupation,accountant
William Lithgow,has gender,male
William Lithgow,has occupation,accountant
Søren Revsbæk,has gender,male
Søren Revsbæk,has occupation,accountant
Edwin Waterhouse,has gender,male
Edwin Waterhouse,has occupation,accountant
Eugen Lenz,has gender,male
Eugen Lenz,has occupation,accountant
Artur Johansen,has gender,male
Artur Johansen,has occupation,accountant
"James Remnant, 3rd Baron Remnant",has gender,male
"James Remnant, 3rd Baron Remnant",has occupation,accountant
Mike Riley,has gender,male
Mike Riley,has occupation,accountant
František Černý,has gender,male
František Černý,has occupation,accountant
Conrad Crespí i Vergés,has gender,male
Conrad Crespí i Vergés,has occupation,accountant
Victor Faccioni,has gender,male
