subject,relation,object
Peter Wyman,has gender,male
Peter Wyman,has occupation,accountant
Q136309071,has gender,male
Q136309071,has occupation,accountant
I Kisun,has gender,male
I Kisun,has occupation,accountant
Neil Angus,has gender,male
Neil Angus,has occupation,accountant
Masahiko Ikaga,has gender,male
Masahiko Ikaga,has occupation,accountant
Rintarō Aoki,has gender,male
Rintarō Aoki,has occupation,accountant
Marc Harris,has gender,male
Marc Harris,has occupation,accountant
Robert Elstone,has gender,male
Robert Elstone,has occupation,accountant
John B. T. Campbell III,has gender,male
John B. T. Campbell III,has occupation,accountant
Richard Baum,has gender,male
Richard Baum,has occupation,accountant
Q18542647,has gender,male
Q18542647,has occupation,accountant
Salomon de Monchy,has gender,male
Salomon de Monchy,has occupation,accountant
Oleg Vladimirovich Korobchenko,has gender,male
Oleg Vladimirovich Korobchenko,has occupation,accountant
Auguste Maltais,has gender,male
Auguste Maltais,has occupation,accountant
Q136383833,has gender,male
Q136383833,has occupation,accountant
Thomas E. Martin,has gender,male
Thomas E. Martin,has occupation,accountant
Q130521930,has gender,male
Q130521930,has occupation,accountant
Leo van Gasselt,has gender,male
Leo van Gasselt,has occupation,accountant
Giovanni Cocca,has gender,male
Giovanni Cocca,has occupation,accountant
Arthur Bach,has gender,male
Arthur Bach,has occupation,accountant
Siegfried Moses,has gender,male
Siegfried Moses,has occupation,accountant
Rihard Svetoslav Premrou,has gender,male
Rihard Svetoslav Premrou,has occupation,accountant
Q4314322,has gender,male
Q4314322,has occupation,accountant
Augusto Andino Alcayaga Aldunate,has gender,male
Augusto Andino Alcayaga Aldunate,has occupation,accountant
Jacob Oem van Wijngaerden,has gender,male
Jacob Oem van Wijngaerden,has occupation,accountant
Miguel de Cervantes,has gender,male
Miguel de Cervantes,has occupation,accountant
Percy Ludgate,has gender,male
Percy Ludgate,has occupation,accountant
Manuel Andres Contreras Menares,has gender,male
Manuel Andres Contreras Menares,has occupation,accountant
Sir Roderick Consett Proctor,has gender,male
Sir Roderick Consett Proctor,has occupation,accountant
Philip M. Colquhoun,has gender,male
Philip M. Colquhoun,has occupation,accountant
Walter Bridgland,has gender,male
Walter Bridgland,has occupation,accountant
Gholam hossein Davani,has gender,male
Gholam hossein Davani,has occupation,accountant
Uzi Izvitsḳi,has gender,male
Uzi Izvitsḳi,has occupation,accountant
Efrat Peled,has gender,female
Efrat Peled,has occupation,accountant
Rosario Violeta Grijalva Salazar,has gender,female
Rosario Violeta Grijalva Salazar,has occupation,accountant
Alicja Gębczyńska,has gender,female
Alicja Gębczyńska,has occupation,accountant
Ingrid Schubert,has gender,female
Ingrid Schubert,has occupation,accountant
Kamogelo Mowaneng,has gender,female
Kamogelo Mowaneng,has occupation,accountant
Helena Plosová,has gender,female
Helena Plosová,has occupation,accountant
Laurence Tiennot-Herment,has gender,female
Laurence Tiennot-Herment,has occupation,accountant
Inuwa Yakubu Shalangwa,has gender,male
Inuwa Yakubu Shalangwa,has occupation,analyst
Mohammed Mansur Ibrahim,has gender,male
Mohammed Mansur Ibrahim,has occupation,analyst
Ibrahim Misbahu Bala,has gender,male
Ibrahim Misbahu Bala,has occupation,analyst
Sabiu Mohammed,has gender,male
Sabiu Mohammed,has occupation,analyst
Yahaya Andrew Haruna,has gender,male
Yahaya Andrew Haruna,has occupation,analyst
Shu'aibu Ikra Umar,has gender,male
Shu'aibu Ikra Umar,has occupation,analyst
Ana Ayuso Pozo,has gender,female
Ana Ayuso Pozo,has occupation,analyst
David Edwards,has gender,male
David Edwards,has occupation,assistant
John III of Henneberg-Schleusingen,has gender,male
John III of Henneberg-Schleusingen,has occupation,assistant
Aleksander Jaworowski,has gender,male
Aleksander Jaworowski,has occupation,assistant
Ladislav Husák,has gender,male
Ladislav Husák,has occupation,assistant
Jacques Maggiori,has gender,male
Jacques Maggiori,has occupation,assistant
Tomáš Klášterecký,has gender,male
Tomáš Klášterecký,has occupation,assistant
Gerard Vilardaga i Cunill,has gender,male
Gerard Vilardaga i Cunill,has occupation,assistant
David Edmondson,has gender,male
David Edmondson,has occupation,assistant
Kudi A Ayuba,has gender,male
Kudi A Ayuba,has occupation,assistant
Andrew McRae Davidson,has gender,male
