subject,relation,object
Peter Wyman,has gender,male
Peter Wyman,has occupation,accountant
Q136309071,has gender,male
Q136309071,has occupation,accountant
I Kisun,has gender,male
I Kisun,has occupation,accountant
Neil Angus,has gender,male
Neil Angus,has occupation,accountant
Masahiko Ikaga,has gender,male
Masahiko Ikaga,has occupation,accountant
Rintarō Aoki,has gender,male
Rintarō Aoki,has occupation,accountant
Marc Harris,has gender,male
Marc Harris,has occupation,accountant
Efrat Peled,has gender,female
Efrat Peled,has occupation,accountant
Rosario Violeta Grijalva Salazar,has gender,female
Rosario Violeta Grijalva Salazar,has occupation,accountant
Alicja Gębczyńska,has gender,female
Alicja Gębczyńska,has occupation,accountant
Ingrid Schubert,has gender,female
Ingrid Schubert,has occupation,accountant
Kamogelo Mowaneng,has gender,female
Kamogelo Mowaneng,has occupation,accountant
Helena Plosová,has gender,female
Helena Plosová,has occupation,accountant
Laurence Tiennot-Herment,has gender,female
Laurence Tiennot-Herment,has occupation,accountant
Inuwa Yakubu Shalangwa,has gender,male
Inuwa Yakubu Shalangwa,has occupation,analyst
Ana Ayuso Pozo,has gender,female
Ana Ayuso Pozo,has occupation,analyst
David Edwards,has gender,male
David Edwards,has occupation,assistant
John III of Henneberg-Schleusingen,has gender,male
John III of Henneberg-Schleusingen,has occupation,assistant
Aleksander Jaworowski,has gender,male
Aleksander Jaworowski,has occupation,assistant
Ladislav Husák,has gender,male
Ladislav Husák,has occupation,assistant
Jacques Maggiori,has gender,male
Jacques Maggiori,has occupation,assistant
Tomáš Klášterecký,has gender,male
Tomáš Klášterecký,has occupation,assistant
Gerard Vilardaga i Cunill,has gender,male
Gerard Vilardaga i Cunill,has occupation,assistant
Zuzana Rebcová,has gender,female
Zuzana Rebcová,has occupation,assistant
Maria Cristina Leal de Carvalho Viegas,has gender,female
Maria Cristina Leal de Carvalho Viegas,has occupation,assistant
Adar Abdulkadir,has gender,female
Adar Abdulkadir,has occupation,assistant
Jeanie Walker,has gender,female
Jeanie Walker,has occupation,assistant
Cecilia Gallik Kennedy,has gender,female
Cecilia Gallik Kennedy,has occupation,assistant
Louisa Irwin,has gender,female
Louisa Irwin,has occupation,assistant
Harriett Eliza MacKinlay,has gender,female
Harriett Eliza MacKinlay,has occupation,assistant
Adrian Vaughan,has gender,male
Adrian Vaughan,has occupation,attendant
Bobby Calder,has gender,male
Bobby Calder,has occupation,attendant
Antonie Formanová,has gender,female
Antonie Formanová,has occupation,attendant
Monica Coghlan,has gender,female
Monica Coghlan,has occupation,attendant
Andreas Staribacher,has gender,male
Andreas Staribacher,has occupation,auditor
Werner Conrad,has gender,male
Werner Conrad,has occupation,auditor
Bjarke Vodder Nielsen,has gender,male
Bjarke Vodder Nielsen,has occupation,auditor
Carsten Ernst,has gender,male
Carsten Ernst,has occupation,auditor
Filip Tammelin,has gender,male
Filip Tammelin,has occupation,auditor
Ulrich Zürn,has gender,male
Ulrich Zürn,has occupation,auditor
Michel Côté,has gender,male
Michel Côté,has occupation,auditor
Josephine Maltby,has gender,female
Josephine Maltby,has occupation,auditor
Joy Phumaphi,has gender,female
Joy Phumaphi,has occupation,auditor
Bergljot Brennvik,has gender,female
Bergljot Brennvik,has occupation,auditor
Melanie Krause,has gender,female
Melanie Krause,has occupation,auditor
Eva Kolstad,has gender,female
Eva Kolstad,has occupation,auditor
Marie Chantal Zaninka,has gender,female
Marie Chantal Zaninka,has occupation,auditor
Rebecca Mtekateka,has gender,female
Rebecca Mtekateka,has occupation,auditor
Martin Coupaye,has gender,male
Martin Coupaye,has occupation,baker
Llorenç Birba i Cordomí,has gender,male
Llorenç Birba i Cordomí,has occupation,baker
Viateur Éthier,has gender,male
Viateur Éthier,has occupation,baker
Rahul Mandal,has gender,male
Rahul Mandal,has occupation,baker
Frank Klosterman,has gender,male
Frank Klosterman,has occupation,baker
Friedrich Hubert Esser,has gender,male
Friedrich Hubert Esser,has occupation,baker
Rasmus Hansen,has gender,male
Rasmus Hansen,has occupation,baker
Maria Anna Zauner,has gender,female
Maria Anna Zauner,has occupation,baker
Melissa Chou,has gender,female
Melissa Chou,has occupation,baker
Belinda Leong,has gender,female
Belinda Leong,has occupation,baker
