subject,relation,object
Peter Wyman,has gender,male
Peter Wyman,has occupation,accountant
Q136309071,has gender,male
Q136309071,has occupation,accountant
I Kisun,has gender,male
I Kisun,has occupation,accountant
Neil Angus,has gender,male
Neil Angus,has occupation,accountant
Masahiko Ikaga,has gender,male
Masahiko Ikaga,has occupation,accountant
Rintarō Aoki,has gender,male
Rintarō Aoki,has occupation,accountant
Marc Harris,has gender,male
Marc Harris,has occupation,accountant
Robert Elstone,has gender,male
Robert Elstone,has occupation,accountant
John B. T. Campbell III,has gender,male
John B. T. Campbell III,has occupation,accountant
Richard Baum,has gender,male
Richard Baum,has occupation,accountant
Q18542647,has gender,male
Q18542647,has occupation,accountant
Salomon de Monchy,has gender,male
Salomon de Monchy,has occupation,accountant
Oleg Vladimirovich Korobchenko,has gender,male
Oleg Vladimirovich Korobchenko,has occupation,accountant
Auguste Maltais,has gender,male
Auguste Maltais,has occupation,accountant
Q136383833,has gender,male
Q136383833,has occupation,accountant
Thomas E. Martin,has gender,male
Thomas E. Martin,has occupation,accountant
Q130521930,has gender,male
Q130521930,has occupation,accountant
Leo van Gasselt,has gender,male
Leo van Gasselt,has occupation,accountant
Giovanni Cocca,has gender,male
Giovanni Cocca,has occupation,accountant
Arthur Bach,has gender,male
Arthur Bach,has occupation,accountant
Efrat Peled,has gender,female
Efrat Peled,has occupation,accountant
Rosario Violeta Grijalva Salazar,has gender,female
Rosario Violeta Grijalva Salazar,has occupation,accountant
Alicja Gębczyńska,has gender,female
Alicja Gębczyńska,has occupation,accountant
Ingrid Schubert,has gender,female
Ingrid Schubert,has occupation,accountant
Kamogelo Mowaneng,has gender,female
Kamogelo Mowaneng,has occupation,accountant
Helena Plosová,has gender,female
Helena Plosová,has occupation,accountant
Laurence Tiennot-Herment,has gender,female
Laurence Tiennot-Herment,has occupation,accountant
Marcelle Robineau,has gender,female
Marcelle Robineau,has occupation,accountant
Lori Roy,has gender,female
Lori Roy,has occupation,accountant
Monica Chakwera,has gender,female
Monica Chakwera,has occupation,accountant
Pia Janols,has gender,female
Pia Janols,has occupation,accountant
Flora Masami,has gender,female
Flora Masami,has occupation,accountant
Lauren B. Peters,has gender,female
Lauren B. Peters,has occupation,accountant
Jana Vojáčková,has gender,female
Jana Vojáčková,has occupation,accountant
Tove Grasten,has gender,female
Tove Grasten,has occupation,accountant
Pip McCrostie,has gender,female
Pip McCrostie,has occupation,accountant
Maria Rzepnikowska,has gender,female
Maria Rzepnikowska,has occupation,accountant
Ethel Mary Bage,has gender,female
Ethel Mary Bage,has occupation,accountant
Dianne Hiles,has gender,female
Dianne Hiles,has occupation,accountant
Marina Muravyova-Gazmanova,has gender,female
Marina Muravyova-Gazmanova,has occupation,accountant
Inuwa Yakubu Shalangwa,has gender,male
Inuwa Yakubu Shalangwa,has occupation,analyst
Ana Ayuso Pozo,has gender,female
Ana Ayuso Pozo,has occupation,analyst
David Edwards,has gender,male
David Edwards,has occupation,assistant
John III of Henneberg-Schleusingen,has gender,male
John III of Henneberg-Schleusingen,has occupation,assistant
Aleksander Jaworowski,has gender,male
Aleksander Jaworowski,has occupation,assistant
Ladislav Husák,has gender,male
Ladislav Husák,has occupation,assistant
Jacques Maggiori,has gender,male
Jacques Maggiori,has occupation,assistant
Tomáš Klášterecký,has gender,male
Tomáš Klášterecký,has occupation,assistant
Gerard Vilardaga i Cunill,has gender,male
Gerard Vilardaga i Cunill,has occupation,assistant
David Edmondson,has gender,male
David Edmondson,has occupation,assistant
Kudi A Ayuba,has gender,male
Kudi A Ayuba,has occupation,assistant
Andrew McRae Davidson,has gender,male
Andrew McRae Davidson,has occupation,assistant
Abel Contreras,has gender,male
Abel Contreras,has occupation,assistant
Neithard Kuhrke,has gender,male
Neithard Kuhrke,has occupation,assistant
Jan Øyvind Helgesen,has gender,male
Jan Øyvind Helgesen,has occupation,assistant
Rainer Karl Litz,has gender,male
Rainer Karl Litz,has occupation,assistant
Maurits Gerard De Keyzer,has gender,male
Maurits Gerard De Keyzer,has occupation,assistant
Ludwig,has gender,male
Ludwig,has occupation,assistant
Nikolaus Fries,has gender,male
Nikolaus Fries,has occupation,assistant
