prompt,completion
"Peter Wyman is male. He works as a accountant. Candidates: accountant, guard. Question: What job does he have?",accountant
Information: Q136309071 is male. He works as a accountant. Options: accountant or chief. Select the correct occupation.,accountant
"I Kisun is male. He works as a accountant. Candidates: accountant, supervisor. Question: What job does he have?",accountant
Information: Neil Angus is male. He works as a accountant. Options: accountant or tailor. Select the correct occupation.,accountant
"Masahiko Ikaga is male. He has a profession. Candidates: accountant, salesperson. Which profession is his?",accountant
"Rintarō Aoki is male. He works as a accountant. Candidates: carpenter, accountant. Question: What job does he have?",accountant
"Marc Harris is male. He has a profession. Candidates: physician, accountant. Which profession is his?",accountant
Information: Robert Elstone is male. He works as a accountant. Options: cashier or accountant. Select the correct occupation.,accountant
"John B. T. Campbell III works as a accountant. He is male. Candidates: accountant, construction worker. Which job is correct?",accountant
Information: Richard Baum is male. He works as a accountant. Options: chief or accountant. Select the correct occupation.,accountant
"Q18542647 is male. He has a profession. Candidates: assistant, accountant. Which profession is his?",accountant
Information: Salomon de Monchy is male. He works as a accountant. Options: accountant or sheriff. Select the correct occupation.,accountant
"Oleg Vladimirovich Korobchenko is male. He has a profession. Candidates: accountant, cleaner. Which profession is his?",accountant
"Auguste Maltais is male. He works as a accountant. Candidates: janitor, accountant. Question: What job does he have?",accountant
"Q136383833 works as a accountant. He is male. Candidates: accountant, carpenter. Which job is correct?",accountant
"I know that Efrat Peled is female and works as a accountant. Here are some options: construction worker, accountant. Which one is correct?",accountant
"Rosario Violeta Grijalva Salazar works as a accountant. She is female. Candidates: driver, accountant. Which job is correct?",accountant
"I know that Alicja Gębczyńska is female and works as a accountant. Here are some options: accountant, analyst. Which one is correct?",accountant
"Ingrid Schubert is female. She has a profession. Candidates: accountant, mechanic. Which profession is her?",accountant
"Kamogelo Mowaneng is female. She has a profession. Candidates: accountant, construction worker. Which profession is her?",accountant
"Helena Plosová works as a accountant. She is female. Candidates: accountant, chief. Which job is correct?",accountant
"I know that Laurence Tiennot-Herment is female and works as a accountant. Here are some options: accountant, sheriff. Which one is correct?",accountant
"Marcelle Robineau is female. She works as a accountant. Candidates: accountant, clerk. Question: What job does she have?",accountant
"Lori Roy is female. She has a profession. Candidates: accountant, farmer. Which profession is her?",accountant
"I know that Monica Chakwera is female and works as a accountant. Here are some options: manager, accountant. Which one is correct?",accountant
"Pia Janols works as a accountant. She is female. Candidates: farmer, accountant. Which job is correct?",accountant
"Flora Masami is female. She has a profession. Candidates: cook, accountant. Which profession is her?",accountant
"Lauren B. Peters is female. She works as a accountant. Candidates: accountant, cashier. Question: What job does she have?",accountant
"Jana Vojáčková is female. She works as a accountant. Candidates: tailor, accountant. Question: What job does she have?",accountant
Information: Tove Grasten is female. She works as a accountant. Options: accountant or auditor. Select the correct occupation.,accountant
Information: Inuwa Yakubu Shalangwa is male. He works as a analyst. Options: analyst or construction worker. Select the correct occupation.,analyst
"I know that Ana Ayuso Pozo is female and works as a analyst. Here are some options: analyst, designer. Which one is correct?",analyst
"David Edwards works as a assistant. He is male. Candidates: developer, assistant. Which job is correct?",assistant
"John III of Henneberg-Schleusingen is male. He has a profession. Candidates: assistant, clerk. Which profession is his?",assistant
Information: Aleksander Jaworowski is male. He works as a assistant. Options: auditor or assistant. Select the correct occupation.,assistant
"Ladislav Husák is male. He works as a assistant. Candidates: sheriff, assistant. Question: What job does he have?",assistant
"Jacques Maggiori works as a assistant. He is male. Candidates: assistant, laborer. Which job is correct?",assistant
"Tomáš Klášterecký is male. He has a profession. Candidates: assistant, clerk. Which profession is his?",assistant
"I know that Gerard Vilardaga i Cunill is male and works as a assistant. Here are some options: supervisor, assistant. Which one is correct?",assistant
"David Edmondson is male. He works as a assistant. Candidates: accountant, assistant. Question: What job does he have?",assistant
"Kudi A Ayuba works as a assistant. He is male. Candidates: accountant, assistant. Which job is correct?",assistant
"Andrew McRae Davidson is male. He works as a assistant. Candidates: lawyer, assistant. Question: What job does he have?",assistant
"Abel Contreras works as a assistant. He is male. Candidates: baker, assistant. Which job is correct?",assistant
"I know that Neithard Kuhrke is male and works as a assistant. Here are some options: janitor, assistant. Which one is correct?",assistant
"I know that Jan Øyvind Helgesen is male and works as a assistant. Here are some options: auditor, assistant. Which one is correct?",assistant
"Rainer Karl Litz is male. He works as a assistant. Candidates: assistant, construction worker. Question: What job does he have?",assistant
Information: Maurits Gerard De Keyzer is male. He works as a assistant. Options: assistant or developer. Select the correct occupation.,assistant
"Zuzana Rebcová works as a assistant. She is female. Candidates: cook, assistant. Which job is correct?",assistant
"Maria Cristina Leal de Carvalho Viegas works as a assistant. She is female. Candidates: driver, assistant. Which job is correct?",assistant
"Adar Abdulkadir works as a assistant. She is female. Candidates: assistant, farmer. Which job is correct?",assistant
Information: Jeanie Walker is female. She works as a assistant. Options: auditor or assistant. Select the correct occupation.,assistant
"Cecilia Gallik Kennedy is female. She has a profession. Candidates: salesperson, assistant. Which profession is her?",assistant
"Louisa Irwin works as a assistant. She is female. Candidates: janitor, assistant. Which job is correct?",assistant
"Harriett Eliza MacKinlay works as a assistant. She is female. Candidates: tailor, assistant. Which job is correct?",assistant
"Zdeňka Chytilová is female. She has a profession. Candidates: assistant, designer. Which profession is her?",assistant
"Cristiane Denise Modolo Siqueira works as a assistant. She is female. Candidates: assistant, physician. Which job is correct?",assistant
"Paulette Ackermann is female. She works as a assistant. Candidates: assistant, teacher. Question: What job does she have?",assistant
"I know that Mary McKay Scott is female and works as a assistant. Here are some options: assistant, supervisor. Which one is correct?",assistant
"Adéla Dostálová works as a assistant. She is female. Candidates: nurse, assistant. Which job is correct?",assistant
"Lucie Cejpek Blaštíková works as a assistant. She is female. Candidates: counselor, assistant. Which job is correct?",assistant
"I know that Dawn Black is female and works as a assistant. Here are some options: assistant, receptionist. Which one is correct?",assistant
Information: Hansi Pollack is female. She works as a assistant. Options: assistant or laborer. Select the correct occupation.,assistant
"Adrian Vaughan works as a attendant. He is male. Candidates: hairdresser, attendant. Which job is correct?",attendant
Information: Bobby Calder is male. He works as a attendant. Options: ceo or attendant. Select the correct occupation.,attendant
"Antonie Formanová is female. She has a profession. Candidates: clerk, attendant. Which profession is her?",attendant
"I know that Monica Coghlan is female and works as a attendant. Here are some options: attendant, driver. Which one is correct?",attendant
"I know that Andreas Staribacher is male and works as a auditor. Here are some options: driver, auditor. Which one is correct?",auditor
Information: Werner Conrad is male. He works as a auditor. Options: construction worker or auditor. Select the correct occupation.,auditor
Information: Bjarke Vodder Nielsen is male. He works as a auditor. Options: auditor or housekeeper. Select the correct occupation.,auditor
"Carsten Ernst is male. He has a profession. Candidates: developer, auditor. Which profession is his?",auditor
"I know that Filip Tammelin is male and works as a auditor. Here are some options: auditor, baker. Which one is correct?",auditor
"Ulrich Zürn works as a auditor. He is male. Candidates: auditor, driver. Which job is correct?",auditor
"Michel Côté is male. He works as a auditor. Candidates: auditor, writer. Question: What job does he have?",auditor
"Ola Gustav Nordgaard works as a auditor. He is male. Candidates: auditor, sheriff. Which job is correct?",auditor
"Jacques Singer is male. He has a profession. Candidates: lawyer, auditor. Which profession is his?",auditor
"I know that Randy Weeks is male and works as a auditor. Here are some options: secretary, auditor. Which one is correct?",auditor
"I know that Roman Pekala is male and works as a auditor. Here are some options: mover, auditor. Which one is correct?",auditor
"I know that James Van Leuven Mensah is male and works as a auditor. Here are some options: auditor, assistant. Which one is correct?",auditor
"I know that Ján Lalka is male and works as a auditor. Here are some options: auditor, attendant. Which one is correct?",auditor
"Alexander Hemmelrath is male. He works as a auditor. Candidates: auditor, sheriff. Question: What job does he have?",auditor
"Kai C. Andrejewski is male. He works as a auditor. Candidates: hairdresser, auditor. Question: What job does he have?",auditor
Information: Josephine Maltby is female. She works as a auditor. Options: driver or auditor. Select the correct occupation.,auditor
"Joy Phumaphi is female. She has a profession. Candidates: cook, auditor. Which profession is her?",auditor
"I know that Bergljot Brennvik is female and works as a auditor. Here are some options: auditor, cook. Which one is correct?",auditor
"Melanie Krause is female. She works as a auditor. Candidates: auditor, editor. Question: What job does she have?",auditor
"Eva Kolstad works as a auditor. She is female. Candidates: auditor, laborer. Which job is correct?",auditor
"Marie Chantal Zaninka is female. She has a profession. Candidates: auditor, chief. Which profession is her?",auditor
"I know that Rebecca Mtekateka is female and works as a auditor. Here are some options: janitor, auditor. Which one is correct?",auditor
"Emily Lansell is female. She works as a auditor. Candidates: physician, auditor. Question: What job does she have?",auditor
"Linoy Reich is female. She works as a auditor. Candidates: receptionist, auditor. Question: What job does she have?",auditor
"Ellen Tohvri is female. She works as a auditor. Candidates: construction worker, auditor. Question: What job does she have?",auditor
Information: Lee Hudman is female. She works as a auditor. Options: auditor or counselor. Select the correct occupation.,auditor
"I know that Lilia Chanysheva is female and works as a auditor. Here are some options: auditor, secretary. Which one is correct?",auditor
"Sue Gill is female. She works as a auditor. Candidates: auditor, housekeeper. Question: What job does she have?",auditor
"Yoo Jung-hyun is female. She has a profession. Candidates: mechanic, auditor. Which profession is her?",auditor
Information: Ana Frohmiller is female. She works as a auditor. Options: manager or auditor. Select the correct occupation.,auditor
"Martin Coupaye works as a baker. He is male. Candidates: designer, baker. Which job is correct?",baker
"Llorenç Birba i Cordomí works as a baker. He is male. Candidates: baker, guard. Which job is correct?",baker
Information: Viateur Éthier is male. He works as a baker. Options: supervisor or baker. Select the correct occupation.,baker
"Rahul Mandal is male. He has a profession. Candidates: baker, hairdresser. Which profession is his?",baker
"Frank Klosterman works as a baker. He is male. Candidates: baker, mechanic. Which job is correct?",baker
"Friedrich Hubert Esser is male. He works as a baker. Candidates: ceo, baker. Question: What job does he have?",baker
"Rasmus Hansen works as a baker. He is male. Candidates: housekeeper, baker. Which job is correct?",baker
"Hans-Artur Bauckhage is male. He has a profession. Candidates: analyst, baker. Which profession is his?",baker
"Friedrich Wilhelm Eikmeier is male. He has a profession. Candidates: hairdresser, baker. Which profession is his?",baker
"Jean-Pierre Crouzet works as a baker. He is male. Candidates: baker, receptionist. Which job is correct?",baker
"Jan Noworolski is male. He has a profession. Candidates: baker, editor. Which profession is his?",baker
"I know that Alphonse-Edgar Guillemette is male and works as a baker. Here are some options: construction worker, baker. Which one is correct?",baker
"Bruno Feldeisen works as a baker. He is male. Candidates: baker, editor. Which job is correct?",baker
Information: Claude Hodel is male. He works as a baker. Options: clerk or baker. Select the correct occupation.,baker
"Ferdinand Heinrich Paur works as a baker. He is male. Candidates: baker, construction worker. Which job is correct?",baker
"Maria Anna Zauner is female. She has a profession. Candidates: cleaner, baker. Which profession is her?",baker
Information: Melissa Chou is female. She works as a baker. Options: teacher or baker. Select the correct occupation.,baker
"Belinda Leong is female. She works as a baker. Candidates: secretary, baker. Question: What job does she have?",baker
"Marithé de Alvarado is female. She has a profession. Candidates: tailor, baker. Which profession is her?",baker
"Noa Cochva works as a baker. She is female. Candidates: baker, counselor. Which job is correct?",baker
"Ibrahim Aicha Karimoune is female. She works as a baker. Candidates: baker, designer. Question: What job does she have?",baker
Information: Judith Erdin is female. She works as a baker. Options: cook or baker. Select the correct occupation.,baker
"Aslinur Yalinkilic works as a baker. She is female. Candidates: baker, supervisor. Which job is correct?",baker
"I know that Barbara Okereke is female and works as a baker. Here are some options: construction worker, baker. Which one is correct?",baker
Information: Józefa Stalkowska is female. She works as a baker. Options: writer or baker. Select the correct occupation.,baker
"I know that Aslinur Yalinkilic is female and works as a baker. Here are some options: attendant, baker. Which one is correct?",baker
"Agnès Bertrand works as a baker. She is female. Candidates: cashier, baker. Which job is correct?",baker
"Melissa Forti works as a baker. She is female. Candidates: designer, baker. Which job is correct?",baker
"Anna Mae Wagler works as a baker. She is female. Candidates: baker, mover. Which job is correct?",baker
"I know that Claire Heitzler is female and works as a baker. Here are some options: manager, baker. Which one is correct?",baker
"Paul Manauthon is male. He has a profession. Candidates: carpenter, chief. Which profession is his?",carpenter
Information: Willm Rolf Meyer is male. He works as a carpenter. Options: physician or carpenter. Select the correct occupation.,carpenter
"Christian David is male. He works as a carpenter. Candidates: salesperson, carpenter. Question: What job does he have?",carpenter
"John Morgan Jones works as a carpenter. He is male. Candidates: carpenter, librarian. Which job is correct?",carpenter
"I know that David Grinbaum is male and works as a carpenter. Here are some options: tailor, carpenter. Which one is correct?",carpenter
"Simon Mee works as a carpenter. He is male. Candidates: secretary, carpenter. Which job is correct?",carpenter
"August Kapell works as a carpenter. He is male. Candidates: editor, carpenter. Which job is correct?",carpenter
"Q23943541 is male. He has a profession. Candidates: carpenter, hairdresser. Which profession is his?",carpenter
"Leopold Kaufmann is male. He works as a carpenter. Candidates: carpenter, laborer. Question: What job does he have?",carpenter
Information: Johann Georg Hasler is male. He works as a carpenter. Options: carpenter or tailor. Select the correct occupation.,carpenter
"Gerardo Rodríguez Fernández is male. He has a profession. Candidates: teacher, carpenter. Which profession is his?",carpenter
"Jörg Spatzier is male. He has a profession. Candidates: carpenter, librarian. Which profession is his?",carpenter
"Hone Taiapa is male. He works as a carpenter. Candidates: accountant, carpenter. Question: What job does he have?",carpenter
Information: Julius Feldstein is male. He works as a carpenter. Options: manager or carpenter. Select the correct occupation.,carpenter
"I know that Pieter Noorwits is male and works as a carpenter. Here are some options: teacher, carpenter. Which one is correct?",carpenter
"I know that Khana Feinbukh is female and works as a carpenter. Here are some options: physician, carpenter. Which one is correct?",carpenter
