prompt,completion
"Peter Wyman is male. He has a profession. Candidates: editor, accountant. Which profession is his?",accountant
"Q136309071 is male. He has a profession. Candidates: cleaner, accountant. Which profession is his?",accountant
"I Kisun is male. He has a profession. Candidates: laborer, accountant. Which profession is his?",accountant
"I know that Neil Angus is male and works as a accountant. Here are some options: manager, accountant. Which one is correct?",accountant
"I know that Masahiko Ikaga is male and works as a accountant. Here are some options: accountant, mechanic. Which one is correct?",accountant
"Rintarō Aoki is male. He has a profession. Candidates: designer, accountant. Which profession is his?",accountant
"Marc Harris is male. He works as a accountant. Candidates: mover, accountant. Question: What job does he have?",accountant
Information: Robert Elstone is male. He works as a accountant. Options: accountant or guard. Select the correct occupation.,accountant
"John B. T. Campbell III is male. He works as a accountant. Candidates: accountant, janitor. Question: What job does he have?",accountant
"Richard Baum is male. He works as a accountant. Candidates: accountant, salesperson. Question: What job does he have?",accountant
Information: Q18542647 is male. He works as a accountant. Options: accountant or developer. Select the correct occupation.,accountant
"Salomon de Monchy is male. He has a profession. Candidates: assistant, accountant. Which profession is his?",accountant
"Oleg Vladimirovich Korobchenko is male. He has a profession. Candidates: housekeeper, accountant. Which profession is his?",accountant
Information: Auguste Maltais is male. He works as a accountant. Options: cashier or accountant. Select the correct occupation.,accountant
"Q136383833 is male. He has a profession. Candidates: accountant, housekeeper. Which profession is his?",accountant
"Thomas E. Martin is male. He works as a accountant. Candidates: secretary, accountant. Question: What job does he have?",accountant
"Q130521930 is male. He works as a accountant. Candidates: guard, accountant. Question: What job does he have?",accountant
"Leo van Gasselt is male. He has a profession. Candidates: accountant, mechanic. Which profession is his?",accountant
"Giovanni Cocca is male. He works as a accountant. Candidates: accountant, ceo. Question: What job does he have?",accountant
"Arthur Bach is male. He works as a accountant. Candidates: sheriff, accountant. Question: What job does he have?",accountant
Information: Siegfried Moses is male. He works as a accountant. Options: accountant or auditor. Select the correct occupation.,accountant
"I know that Rihard Svetoslav Premrou is male and works as a accountant. Here are some options: accountant, janitor. Which one is correct?",accountant
"I know that Q4314322 is male and works as a accountant. Here are some options: accountant, auditor. Which one is correct?",accountant
"Augusto Andino Alcayaga Aldunate works as a accountant. He is male. Candidates: carpenter, accountant. Which job is correct?",accountant
"Jacob Oem van Wijngaerden is male. He has a profession. Candidates: attendant, accountant. Which profession is his?",accountant
"Miguel de Cervantes works as a accountant. He is male. Candidates: supervisor, accountant. Which job is correct?",accountant
Information: Percy Ludgate is male. He works as a accountant. Options: construction worker or accountant. Select the correct occupation.,accountant
"I know that Manuel Andres Contreras Menares is male and works as a accountant. Here are some options: writer, accountant. Which one is correct?",accountant
"Sir Roderick Consett Proctor is male. He works as a accountant. Candidates: receptionist, accountant. Question: What job does he have?",accountant
"I know that Philip M. Colquhoun is male and works as a accountant. Here are some options: accountant, cashier. Which one is correct?",accountant
Information: Walter Bridgland is male. He works as a accountant. Options: accountant or sheriff. Select the correct occupation.,accountant
"Gholam hossein Davani is male. He has a profession. Candidates: mover, accountant. Which profession is his?",accountant
Information: Uzi Izvitsḳi is male. He works as a accountant. Options: driver or accountant. Select the correct occupation.,accountant
"I know that Efrat Peled is female and works as a accountant. Here are some options: accountant, librarian. Which one is correct?",accountant
"Rosario Violeta Grijalva Salazar is female. She has a profession. Candidates: lawyer, accountant. Which profession is her?",accountant
"Alicja Gębczyńska is female. She works as a accountant. Candidates: driver, accountant. Question: What job does she have?",accountant
"Ingrid Schubert is female. She works as a accountant. Candidates: accountant, lawyer. Question: What job does she have?",accountant
"Kamogelo Mowaneng works as a accountant. She is female. Candidates: driver, accountant. Which job is correct?",accountant
"Helena Plosová works as a accountant. She is female. Candidates: accountant, chief. Which job is correct?",accountant
"Laurence Tiennot-Herment is female. She has a profession. Candidates: accountant, teacher. Which profession is her?",accountant
Information: Inuwa Yakubu Shalangwa is male. He works as a analyst. Options: analyst or physician. Select the correct occupation.,analyst
"Mohammed Mansur Ibrahim is male. He has a profession. Candidates: analyst, ceo. Which profession is his?",analyst
"I know that Ibrahim Misbahu Bala is male and works as a analyst. Here are some options: analyst, ceo. Which one is correct?",analyst
"Sabiu Mohammed is male. He has a profession. Candidates: analyst, attendant. Which profession is his?",analyst
Information: Yahaya Andrew Haruna is male. He works as a analyst. Options: cashier or analyst. Select the correct occupation.,analyst
"Shu'aibu Ikra Umar is male. He has a profession. Candidates: analyst, baker. Which profession is his?",analyst
Information: Ana Ayuso Pozo is female. She works as a analyst. Options: cook or analyst. Select the correct occupation.,analyst
"David Edwards is male. He has a profession. Candidates: physician, assistant. Which profession is his?",assistant
"I know that John III of Henneberg-Schleusingen is male and works as a assistant. Here are some options: attendant, assistant. Which one is correct?",assistant
"Aleksander Jaworowski is male. He works as a assistant. Candidates: assistant, janitor. Question: What job does he have?",assistant
"Ladislav Husák is male. He works as a assistant. Candidates: teacher, assistant. Question: What job does he have?",assistant
Information: Jacques Maggiori is male. He works as a assistant. Options: salesperson or assistant. Select the correct occupation.,assistant
Information: Tomáš Klášterecký is male. He works as a assistant. Options: editor or assistant. Select the correct occupation.,assistant
"Gerard Vilardaga i Cunill is male. He has a profession. Candidates: designer, assistant. Which profession is his?",assistant
"David Edmondson is male. He works as a assistant. Candidates: assistant, counselor. Question: What job does he have?",assistant
"I know that Kudi A Ayuba is male and works as a assistant. Here are some options: librarian, assistant. Which one is correct?",assistant
"I know that Andrew McRae Davidson is male and works as a assistant. Here are some options: assistant, manager. Which one is correct?",assistant
"I know that Abel Contreras is male and works as a assistant. Here are some options: assistant, manager. Which one is correct?",assistant
"Neithard Kuhrke is male. He has a profession. Candidates: driver, assistant. Which profession is his?",assistant
"Jan Øyvind Helgesen works as a assistant. He is male. Candidates: auditor, assistant. Which job is correct?",assistant
