subject,relation,object
Peter Wyman,has gender,male
Peter Wyman,has occupation,accountant
Q136309071,has gender,male
Q136309071,has occupation,accountant
I Kisun,has gender,male
I Kisun,has occupation,accountant
Efrat Peled,has gender,female
Efrat Peled,has occupation,accountant
Rosario Violeta Grijalva Salazar,has gender,female
Rosario Violeta Grijalva Salazar,has occupation,accountant
Alicja Gębczyńska,has gender,female
Alicja Gębczyńska,has occupation,accountant
Inuwa Yakubu Shalangwa,has gender,male
Inuwa Yakubu Shalangwa,has occupation,analyst
Ana Ayuso Pozo,has gender,female
Ana Ayuso Pozo,has occupation,analyst
David Edwards,has gender,male
David Edwards,has occupation,assistant
John III of Henneberg-Schleusingen,has gender,male
John III of Henneberg-Schleusingen,has occupation,assistant
Aleksander Jaworowski,has gender,male
Aleksander Jaworowski,has occupation,assistant
Zuzana Rebcová,has gender,female
Zuzana Rebcová,has occupation,assistant
Maria Cristina Leal de Carvalho Viegas,has gender,female
Maria Cristina Leal de Carvalho Viegas,has occupation,assistant
Adar Abdulkadir,has gender,female
Adar Abdulkadir,has occupation,assistant
Adrian Vaughan,has gender,male
Adrian Vaughan,has occupation,attendant
Bobby Calder,has gender,male
Bobby Calder,has occupation,attendant
Antonie Formanová,has gender,female
Antonie Formanová,has occupation,attendant
Monica Coghlan,has gender,female
Monica Coghlan,has occupation,attendant
Andreas Staribacher,has gender,male
Andreas Staribacher,has occupation,auditor
Werner Conrad,has gender,male
Werner Conrad,has occupation,auditor
Bjarke Vodder Nielsen,has gender,male
Bjarke Vodder Nielsen,has occupation,auditor
Josephine Maltby,has gender,female
Josephine Maltby,has occupation,auditor
Joy Phumaphi,has gender,female
Joy Phumaphi,has occupation,auditor
Bergljot Brennvik,has gender,female
Bergljot Brennvik,has occupation,auditor
Martin Coupaye,has gender,male
Martin Coupaye,has occupation,baker
Llorenç Birba i Cordomí,has gender,male
Llorenç Birba i Cordomí,has occupation,baker
Viateur Éthier,has gender,male
Viateur Éthier,has occupation,baker
Maria Anna Zauner,has gender,female
Maria Anna Zauner,has occupation,baker
Melissa Chou,has gender,female
Melissa Chou,has occupation,baker
Belinda Leong,has gender,female
Belinda Leong,has occupation,baker
Paul Manauthon,has gender,male
Paul Manauthon,has occupation,carpenter
Willm Rolf Meyer,has gender,male
Willm Rolf Meyer,has occupation,carpenter
Christian David,has gender,male
Christian David,has occupation,carpenter
Khana Feinbukh,has gender,female
Khana Feinbukh,has occupation,carpenter
Trina Gulliver,has gender,female
Trina Gulliver,has occupation,carpenter
May Clark,has gender,female
May Clark,has occupation,carpenter
Johann Gottlieb Zenker,has gender,male
Johann Gottlieb Zenker,has occupation,cashier
Kei Ogura,has gender,male
Kei Ogura,has occupation,cashier
Hirotaka Ishihara,has gender,male
Hirotaka Ishihara,has occupation,cashier
Marie A. Detrick,has gender,female
Marie A. Detrick,has occupation,cashier
Clara Almánzar,has gender,female
Clara Almánzar,has occupation,cashier
Clémence Roy,has gender,female
Clémence Roy,has occupation,cashier
Amir Ashkenazi,has gender,male
Amir Ashkenazi,has occupation,ceo
Peter Njonjo,has gender,male
Peter Njonjo,has occupation,ceo
Dukagjin Lipa,has gender,male
Dukagjin Lipa,has occupation,ceo
Ravit Barniv,has gender,female
Ravit Barniv,has occupation,ceo
Jeanette Aaen,has gender,female
Jeanette Aaen,has occupation,ceo
Birgitta Forsström,has gender,female
Birgitta Forsström,has occupation,ceo
Ronnie Woo Woo,has gender,male
Ronnie Woo Woo,has occupation,cleaner
Nilton Donizeti da Silva,has gender,male
Nilton Donizeti da Silva,has occupation,cleaner
Jürgen Herzing,has gender,male
Jürgen Herzing,has occupation,cleaner
Frieda Mager,has gender,female
Frieda Mager,has occupation,cleaner
Victoria Hughes,has gender,female
Victoria Hughes,has occupation,cleaner
Wanda Sarna,has gender,female
Wanda Sarna,has occupation,cleaner
Cheta Nwanze,has gender,male
Cheta Nwanze,has occupation,clerk
Cradock Newton,has gender,male
Cradock Newton,has occupation,clerk
Vittorio Bargioni,has gender,male
Vittorio Bargioni,has occupation,clerk
Pasha Leberfeld,has gender,female
Pasha Leberfeld,has occupation,clerk
Solimar Silva,has gender,female
