prompt,completion
"Peter Wyman is male. He has a profession. Candidates: accountant, auditor. Which profession is his?",accountant
"I know that Q136309071 is male and works as a accountant. Here are some options: accountant, manager. Which one is correct?",accountant
"I know that I Kisun is male and works as a accountant. Here are some options: guard, accountant. Which one is correct?",accountant
"I know that Neil Angus is male and works as a accountant. Here are some options: accountant, attendant. Which one is correct?",accountant
"Masahiko Ikaga works as a accountant. He is male. Candidates: analyst, accountant. Which job is correct?",accountant
Information: Rintarō Aoki is male. He works as a accountant. Options: accountant or assistant. Select the correct occupation.,accountant
"I know that Marc Harris is male and works as a accountant. Here are some options: accountant, farmer. Which one is correct?",accountant
Information: Robert Elstone is male. He works as a accountant. Options: accountant or receptionist. Select the correct occupation.,accountant
"I know that John B. T. Campbell III is male and works as a accountant. Here are some options: chief, accountant. Which one is correct?",accountant
Information: Richard Baum is male. He works as a accountant. Options: accountant or ceo. Select the correct occupation.,accountant
Information: Q18542647 is male. He works as a accountant. Options: accountant or librarian. Select the correct occupation.,accountant
"Salomon de Monchy is male. He has a profession. Candidates: receptionist, accountant. Which profession is his?",accountant
Information: Oleg Vladimirovich Korobchenko is male. He works as a accountant. Options: accountant or nurse. Select the correct occupation.,accountant
"Auguste Maltais works as a accountant. He is male. Candidates: carpenter, accountant. Which job is correct?",accountant
Information: Q136383833 is male. He works as a accountant. Options: designer or accountant. Select the correct occupation.,accountant
"Thomas E. Martin works as a accountant. He is male. Candidates: accountant, chief. Which job is correct?",accountant
"Q130521930 is male. He has a profession. Candidates: accountant, hairdresser. Which profession is his?",accountant
Information: Leo van Gasselt is male. He works as a accountant. Options: guard or accountant. Select the correct occupation.,accountant
"Giovanni Cocca is male. He works as a accountant. Candidates: hairdresser, accountant. Question: What job does he have?",accountant
"I know that Arthur Bach is male and works as a accountant. Here are some options: accountant, baker. Which one is correct?",accountant
Information: Efrat Peled is female. She works as a accountant. Options: accountant or driver. Select the correct occupation.,accountant
"Rosario Violeta Grijalva Salazar is female. She has a profession. Candidates: counselor, accountant. Which profession is her?",accountant
"Alicja Gębczyńska is female. She works as a accountant. Candidates: accountant, supervisor. Question: What job does she have?",accountant
Information: Ingrid Schubert is female. She works as a accountant. Options: accountant or chief. Select the correct occupation.,accountant
"Kamogelo Mowaneng is female. She has a profession. Candidates: secretary, accountant. Which profession is her?",accountant
"I know that Helena Plosová is female and works as a accountant. Here are some options: accountant, clerk. Which one is correct?",accountant
"I know that Laurence Tiennot-Herment is female and works as a accountant. Here are some options: accountant, receptionist. Which one is correct?",accountant
"I know that Marcelle Robineau is female and works as a accountant. Here are some options: construction worker, accountant. Which one is correct?",accountant
"Lori Roy is female. She works as a accountant. Candidates: accountant, lawyer. Question: What job does she have?",accountant
"Monica Chakwera is female. She has a profession. Candidates: accountant, chief. Which profession is her?",accountant
"I know that Pia Janols is female and works as a accountant. Here are some options: cook, accountant. Which one is correct?",accountant
"Flora Masami works as a accountant. She is female. Candidates: accountant, receptionist. Which job is correct?",accountant
"I know that Lauren B. Peters is female and works as a accountant. Here are some options: cleaner, accountant. Which one is correct?",accountant
"I know that Jana Vojáčková is female and works as a accountant. Here are some options: physician, accountant. Which one is correct?",accountant
Information: Tove Grasten is female. She works as a accountant. Options: sheriff or accountant. Select the correct occupation.,accountant
"Pip McCrostie works as a accountant. She is female. Candidates: cook, accountant. Which job is correct?",accountant
"Maria Rzepnikowska works as a accountant. She is female. Candidates: accountant, janitor. Which job is correct?",accountant
"Ethel Mary Bage is female. She has a profession. Candidates: accountant, supervisor. Which profession is her?",accountant
"I know that Dianne Hiles is female and works as a accountant. Here are some options: mover, accountant. Which one is correct?",accountant
