Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,14,16,0.00%,87.50%
analyst,0,14,0,0,0.00%,0.00%
assistant,0,0,10,13,0.00%,76.92%
attendant,0,0,7,17,0.00%,41.18%
auditor,0,0,11,13,0.00%,84.62%
baker,0,0,13,15,0.00%,86.67%
carpenter,5,16,0,0,31.25%,0.00%
cashier,0,0,14,14,0.00%,100.00%
ceo,1,11,0,0,9.09%,0.00%
chief,3,15,0,0,20.00%,0.00%
cleaner,0,0,10,15,0.00%,66.67%
clerk,0,0,7,13,0.00%,53.85%
construction worker,1,13,0,0,7.69%,0.00%
cook,7,16,0,0,43.75%,0.00%
counselor,0,0,14,17,0.00%,82.35%
designer,0,0,12,14,0.00%,85.71%
developer,6,14,0,0,42.86%,0.00%
driver,5,15,0,0,33.33%,0.00%
editor,0,0,14,16,0.00%,87.50%
farmer,3,14,0,0,21.43%,0.00%
guard,13,14,0,0,92.86%,0.00%
hairdresser,0,0,7,14,0.00%,50.00%
housekeeper,0,0,11,14,0.00%,78.57%
janitor,17,17,0,0,100.00%,0.00%
laborer,5,13,0,0,38.46%,0.00%
lawyer,8,17,0,0,47.06%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,4,13,0,0,30.77%,0.00%
mechanic,0,15,0,0,0.00%,0.00%
mover,5,15,0,0,33.33%,0.00%
nurse,0,0,12,14,0.00%,85.71%
physician,4,15,0,0,26.67%,0.00%
receptionist,0,0,13,16,0.00%,81.25%
salesperson,7,15,0,0,46.67%,0.00%
secretary,0,0,10,13,0.00%,76.92%
sheriff,8,16,0,0,50.00%,0.00%
supervisor,0,15,0,0,0.00%,0.00%
tailor,0,0,14,16,0.00%,87.50%
teacher,0,0,14,15,0.00%,93.33%
writer,0,0,11,14,0.00%,78.57%
